"","Percentage_positive"
"CSDE1",35
"SIKE1",3.7
"SLC22A15",1.2
"ATP1A1",14.8
"ATP1A1-AS1",0.6
"CD58",1.9
"TTF2",2.7
"TRIM45",0.1
"MAN1A2",9.9
"AL157902.1",0.2
"TENT5C",25.1
"GDAP2",3.6
"WDR3",1.1
"TBX15",0.1
"WARS2",5.3
"WARS2-AS1",1.7
"PHGDH",1.4
"NOTCH2",6.9
"SEC22B",10.6
"NBPF26",1.2
"AC253572.2",35.5
"LINC00623",1.8
"SRGAP2C",5.4
"AL592494.2",0.5
"LINC02591",0.8
"HIST2H3PS2",0.1
"IGKV1OR1-1",0
"LINC02802",0.2
"NBPF15",2.3
"SRGAP2B",2.5
"AC245014.3",28.2
"NBPF20",1.2
"GPR89A",2.1
"RNF115",10
"POLR3C",3.4
"NUDT17",0.4
"PIAS3",0.8
"ITGA10",0.1
"PEX11B",0.6
"RBM8A",29.7
"LIX1L-AS1",1.2
"LIX1L",0.8
"POLR3GL",3.3
"TXNIP",33.7
"AC239799.2",8.7
"LINC01719",0.2
"NBPF10",2.8
"NOTCH2NLA",2.1
"AC245407.2",3.2
"NBPF12",4.1
"PRKAB2",1
"AC242426.2",0.9
"FMO5",0.4
"CHD1L",1.6
"LINC00624",0.1
"BCL9",1
"GPR89B",0.7
"LINC02804",0.1
"NBPF11",2.6
"LINC01138",3.4
"NBPF14",6.6
"PDE4DIP",1.8
"NBPF9",2.8
"AC245297.3",22.4
"NOTCH2NLC",1
"NBPF19",1.7
"AC242842.1",0.2
"HIST2H2BF",2.1
"HIST2H2AA4",9.6
"HIST2H4B",0.6
"AC239868.1",0.2
"HIST2H2BE",1.3
"HIST2H2AC",4.3
"HIST2H2AB",1.4
"BOLA1",0.1
"SV2A",0.3
"SF3B4",3.3
"OTUD7B",0.1
"AC244033.2",0.1
"VPS45",0.8
"PLEKHO1",7.1
"AC242988.2",0.3
"ANP32E",9.1
"APH1A",7.6
"MRPS21",6.4
"PRPF3",9.1
"RPRD2",5.7
"TARS2",2.9
"ADAMTSL4",0.1
"ADAMTSL4-AS1",1.4
"MCL1",32.4
"ENSA",17.9
"GOLPH3L",0.3
"CTSS",16.2
"CTSK",0.3
"ARNT",2.5
"SETDB1",3.3
"CERS2",2.6
"MINDY1",1.2
"PRUNE1",0.4
"BNIPL",0.2
"C1orf56",12.1
"CDC42SE1",14.6
"MLLT11",0.5
"GABPB2",2.2
"SEMA6C",0.5
"SCNM1",4.1
"VPS72",0.7
"PIP5K1A",2.4
"PSMD4",4.8
"ZNF687-AS1",0.5
"ZNF687",1.8
"PI4KB",2.7
"RFX5",3.5
"AL391069.2",1.5
"PSMB4",6.8
"POGZ",13.1
"TUFT1",0.3
"AL365436.2",0.4
"SNX27",2
"AL589765.7",0.1
"MRPL9",6.6
"OAZ3",0.1
"AL589765.4",0
"THEM4",1.2
"S100A10",14.5
"S100A11",2.3
"TCHH",0
"FLG-AS1",0.2
"LOR",0.1
"S100A6",14.1
"S100A4",8.6
"S100A13",1.2
"AL162258.2",0.5
"CHTOP",9
"SNAPIN",1.8
"ILF2",17.1
"INTS3",2.4
"SLC27A3",0.3
"GATAD2B",6.6
"AL358472.5",2.6
"DENND4B",5.2
"CRTC2",3.2
"SLC39A1",1
"AL358472.4",0.5
"CREB3L4",0.5
"JTB",10
"RPS27",80.3
"TPM3",32
"C1orf43",7.3
"UBAP2L",8.7
"HAX1",8.6
"ATP8B2",1.5
"IL6R-AS1",0
"IL6R",0.2
"UBE2Q1",4
"ADAR",27
"KCNN3",0.1
"PMVK",0.9
"AL451085.1",0.6
"PBXIP1",7.9
"PYGO2",0.7
"AL451085.2",0.7
"SHC1",2.2
"CKS1B",1.4
"FLAD1",2.6
"ZBTB7B",0.5
"DCST2",0
"ADAM15",0.4
"EFNA4",0.4
"SLC50A1",6.6
"DPM3",2.5
"KRTCAP2",11
"TRIM46",0.4
"MUC1",0.2
"AC234582.1",0.5
"THBS3",0.8
"MTX1",2.4
"GBA",0.7
"FAM189B",0.3
"SCAMP3",2.7
"CLK2",1.6
"FDPS",3.6
"RUSC1",0.6
"ASH1L",19.9
"ASH1L-AS1",1.8
"MSTO1",1.9
"AL353807.5",0.7
"YY1AP1",3.6
"DAP3",3.7
"GON4L",8.8
"SYT11",2.4
"RIT1",7.1
"KHDC4",7.9
"ARHGEF2",4.5
"AL355388.2",0.2
"SSR2",17.6
"UBQLN4",0.9
"LAMTOR2",1.7
"MEX3A",0.6
"LMNA",17.5
"SEMA4A",0.8
"SLC25A44",1.6
"PMF1",5
"BGLAP",0.3
"PAQR6",0.1
"SMG5",2.8
"TMEM79",0.1
"GLMP",0.5
"CCT3",4.9
"C1orf61",0.4
"MEF2D",13.9
"AL365181.1",0.1
"IQGAP3",0
"TTC24",1.1
"NAXE",3.1
"GPATCH4",5.1
"CRABP2",0.4
"AL590666.1",0.1
"ISG20L2",10.1
"RRNAD1",1.4
"MRPL24",1.1
"HDGF",4.9
"PRCC",3.7
"SH2D2A",0.2
"ARHGEF11",0.8
"ETV3",6.6
"FCRL5",15.3
"FCRL4",0.1
