"","Percentage_positive"
"USP12-AS2",0.1
"FLT3",0
"MTUS2-AS1",0.1
"ZAR1L",0
"AL138820.1",0.3
"STARD13",0.2
"LINC00330",0.1
"SUCLA2-AS1",0
"MED4-AS1",0.1
"LPAR6",0.3
"AL157813.1",0.1
"DLEU7",0.2
"RNASEH2B-AS1",0.3
"ATP7B",0
"NEK5",0.2
"PCDH9-AS1",0.1
"AL159972.1",0.2
"POU4F1",0.1
"UGGT2",0.7
"FARP1-AS1",0.4
"LINC01232",0.1
"AL137139.2",0.1
"AL138694.1",0.1
"COL4A2-AS2",0.1
"TEX29",0.1
"AL139384.1",0.1
"MCF2L-AS1",0
"LINC00565",0.1
"CFAP97D2",0
"ANG",0
"RNASE4",0
"RNASE1",0
"AL135744.1",0.1
"AC244502.1",0.2
"TRAV36DV7",0.1
"TRDC",0
"TRDV3",0.1
"TRAC",1.7
"LINC02332",0
"AJUBA",0.1
"HOMEZ",0.3
"THTPA",0
"FITM1",0.1
"AL136295.2",0.2
"AL096870.8",0.9
"GZMH",0
"AL136418.1",0.1
"LINC02313",0
"AL161665.2",0.1
"SLC25A21",0
"AL139099.1",0.1
"AL118556.1",0
"AL133485.2",0
"PTGER2",0
"AL133453.1",0.2
"AL139317.3",0.1
"AL356020.1",0.2
"CDKN3",0.3
"AL161804.1",0.1
"AL132989.1",0.4
"TOMM20L",0.1
"AL049869.3",0.1
"SPTB",0
"AL355076.2",0.4
"TMEM229B",0.1
"AL049779.4",0.1
"AL133370.1",0.1
"AL121820.3",0.1
"AL121820.2",0
"AL133313.1",0.1
"ACTN1",0.1
"AL391262.1",0
"SLC10A1",0
"AC004825.3",0.1
"AC004974.1",0.5
"AC004900.1",0
"HEATR4",0
"ZC2HC1C",0.1
"AL691403.1",0.1
"FLRT2",0.1
"LINC01146",0
"AL096869.3",0
"AL133153.2",0
"UNC79",0.2
"SERPINA1",0
"AL133467.1",0.2
"AL163051.1",0.1
"AL160313.1",0.2
"AL157871.1",0
"BEGAIN",0.1
"AL583722.2",0.1
"ZBTB42",0.2
"IGHGP",0.3
"FAM30A",0.6
"IGHV3-15",0
"IGHV3-23",0
"IGHV3-33",0
"IGHV4-39",0
"APBA2",0
"AC026150.1",0.1
"GOLGA8H",0.1
"AC012236.1",0.1
"GOLGA8O",0.2
"AC123768.3",0.2
"AC123768.2",0
"GREM1",0.2
"THBS1",0
"GPR176",0
"AC091045.1",0
"AC020661.3",0.1
"OIP5",0.1
"AC016134.1",0.1
"PLA2G4E-AS1",0.1
"AC036103.1",0
"AC018362.2",0.2
"AC068724.1",0.1
"AC051619.5",0.1
"AC025580.1",0
"CTXN2",0
"AC013452.2",0
"SLC27A2",0
"AC022087.1",0.4
"USP50",0.1
"AC084756.1",0.1
"AC021752.1",0.1
"AC090970.1",0.1
"BCL2L10",0.1
"AC012378.2",0
"AC010999.2",0.1
"CCNB2",0.2
"AC092755.2",0
"AC107241.1",0.1
"AC009554.2",0.1
"AC104590.1",0.1
"PIF1",0.4
"MEGF11",0.1
"AC116913.1",0.2
"CALML4",0.3
"ITGA11",0.1
"AC009269.4",0
"AC104938.1",0.1
"SENP8",0.1
"AC079322.1",0.2
"HIGD2B",0
"LOXL1",0.1
"AC090826.3",0
"AC105020.2",0
"DNM1P35",0.1
"AC090260.1",0
"AC011944.1",0.4
"AC016705.2",0.1
"AC068870.2",0.1
"TMC3-AS1",0.3
"SAXO2",0.2
"TM6SF1",0.6
"AC048382.5",0
"AC087468.2",0
"AC087286.3",0.1
"AC087286.2",0.1
"AC021739.4",0
"MESP1",0
"ANPEP",0
"ZNF774",0.1
"AC106028.4",0.3
"AC009432.2",0.2
"LINC02254",0
"AC022819.1",0
"AC015660.1",0.1
"AC090164.5",0.1
"RHBDF1",0.1
"HBM",0
"HBA1",0.4
"HBQ1",0
"WFIKKN1",0.1
"CCDC78",0.1
"AC009041.4",0.1
"SOX8",0.4
"NPW",0.5
"CEMP1",0
"AC141586.3",0
"PAQR4",0.3
"BICDL2",0.1
"AC004232.1",0.1
"AC004494.1",0.1
"AC005736.1",0.1
"AC012676.3",0.1
"AC007014.2",0.3
"AC099489.3",0.1
"TNFRSF17",0.2
"AC010333.3",0
"AC138932.5",0.1
"AC126763.1",0.2
"ACSM1",0.2
"REXO5",0.2
"DCUN1D3",0.3
"AF001550.1",0
"AC092119.3",0
"AC009034.1",0.1
"AC092338.1",0.1
"AC008915.2",0.3
"PLK1",0.1
"LINC01567",0.4
"AC008731.1",0.2
"LCMT1-AS1",0.1
"AC133552.5",0.2
"AQP8",0.1
"IL21R-AS1",0.1
"AC145285.3",0.1
"ATP2A1-AS1",0.2
"QPRT",0.1
"AC009133.2",0
"AC120114.1",0.1
"TLCD3B",0.1
"AC093512.1",0.2
"AC012645.1",0.1
"AC093249.2",0
"CTF1",0.2
"AC009088.2",0
"ITGAX",0.1
"AHSP",0.4
"MYLK3",0.1
"AC007494.2",0.2
"AC007599.2",0.1
"CRNDE",0.9
"IRX5",0.1
"LPCAT2",0.1
"AC026461.3",0.1
"MT1M",0.1
"MT1F",0.8
"CETP",0.1
"KIFC3",0.3
"GINS3",0.2
"AC010542.2",0.1
"CMTM1",0.1
"CES4A",0
"NOL3",0.1
"LRRC29",0.1
"AC027682.3",0
"DPEP3",0.1
"HAS3",0.1
"TMED6",0.1
"VAC14-AS1",0.1
"HYDIN",0
"AC002044.1",0
"AC116667.1",0.1
"AC009120.4",0.1
"NUDT7",0.1
"VAT1L",0
"AC079414.3",0.3
"AC009141.1",0
"MAFTRR",0.1
"AC092718.4",0.1
"AC009148.1",0.1
"AC092139.1",0.2
"AC009063.3",0
"AC092145.1",0.2
"AC018695.6",0.2
"AC092723.5",0.1
"LINC02132",0.1
"AC092723.3",0
"C16orf95",0.1
"AC010531.6",0.1
"ZCCHC14",0.2
"AC105429.1",0.1
"AC126696.3",0
"AC126696.1",0.1
"CA5A",0.2
"SNAI3",0.2
"CDT1",0.3
"AC092384.2",0
"AC092384.1",0.1
"AC135782.1",0
"LINC00304",0.1
"AC092123.1",0.1
"LINC02166",0.2
"VPS9D1-AS1",0
"DEF8",0.4
"RFLNB",0.1
"SERPINF2",0.1
"AC090617.10",0.1
"AC090617.3",0
"AC090617.5",0.1
"HIC1",0.2
"AC090617.1",0.1
"SRR",0.2
"AC005696.1",0
"HASPIN",0
"ZMYND15",0.1
"AC233723.1",0.1
"AC004771.4",0.1
"INCA1",0
"AC004771.1",0.1
"ZNF232",0.5
"MIR497HG",0.1
"TNFSF12",1.5
"AC016876.1",0.8
"ATP1B2",0
"BORCS6",0.7
"RNF222",0
"AC005695.3",0.1
"AC087501.4",0.1
"TMEM220",0.5
"AC005358.2",0
"CDRT4",0.2
"CENPV",0.6
"MPRIP-AS1",0.6
"NT5M",0
"RASD1",0.3
"GID4",0.6
"FAM106A",0.4
"SLC5A10",0.1
"SLC47A1",0.1
"AC005730.3",0.2
"LGALS9B",0.1
"AC090774.2",0.1
"AC107926.1",0.3
"KCNJ12",0
"AC015917.2",0
"ALDOC",0.4
"RAB34",0.5
"AC010761.4",0
"SEZ6",0.1
"AC068025.1",0.1
"AC104984.5",0.1
"SLC6A4",0.1
"AC127024.4",0
"AC127024.5",0.2
"AC138207.2",0
"AC116407.2",0.3
"AC005899.7",0.1
"AC025211.1",0
"AC022706.1",0.3
"SLFN12L",0.3
"MMP28",0
"AC015849.4",0.1
"MRM1",0.1
"TBC1D3D",0
"ARHGAP23",0.1
"EPOP",0.1
"AC006449.2",0
"AC006441.3",0
"AC009283.1",0.2
"PNMT",0
"AC090844.2",0.1
"AC080112.1",0
"AC004585.1",0
"KRT13",0
"AC067852.2",0.2
"COA3",1.1
"RND2",0.2
"CCDC200",0.1
"HIGD1B",0.1
"KIF18B",0.1
"AC015936.1",0.1
"AC091132.4",0.1
"CR936218.1",0.1
"MYL4",0.1
"AC025682.1",0.1
"AC018521.2",0
"AC036222.1",0
"HOXB-AS1",0
"IGF2BP1",0
"B4GALNT2",0
"GNGT2",0.3
"AC091180.2",0.1
"AC005920.2",0
"SMIM36",0.1
"AC015813.3",0.1
"SEPTIN4-AS1",0.1
"RNFT1-DT",0.1
"AC025048.2",0.1
"NACA2",0.2
"EFCAB3",0
"AC080038.1",0
"AC134407.1",0.1
"C17orf58",0.2
"ABCA10",0.1
"KCNJ2-AS1",0
"AC100786.1",0.2
"TTYH2",0.1
"CD300LB",0.1
"CASKIN2",0
"SMIM6",0.1
"ITGB4",0.1
"ZACN",0.1
"CYGB",0.2
"AC015802.4",0
"AC111170.1",0.1
"C17orf99",0.1
"TK1",0.3
"ENPP7",0.2
"BAIAP2-DT",0.1
"AC027601.2",0.1
"AC110285.5",0
"LINC01971",0
"FSCN2",0.1
"TSPAN10",0.2
"PDE6G",0.4
"PYCR1",0.1
"RAC3",0
"CD7",0.1
"FN3K",0.8
"B3GNTL1",0.2
"TYMSOS",0.1
"TYMS",0.4
"AP001020.3",0.1
"AP001020.1",0.1
"AP000894.4",0
"AP005329.2",0
"GACAT2",0
"AC006238.1",0
"CHMP1B-AS1",0.1
"PRELID3A",0.1
"SPIRE1",0.1
"AP002449.1",0.6
"AP005131.1",0.2
"AP005131.7",0.3
"AP005131.3",0
"GREB1L",0.1
"MIR133A1HG",0.2
"AC090912.2",0
"IMPACT",0.6
"PSMA8",0.2
"DSG3",0.1
"AC017100.1",0
"AC022960.1",0.1
"AC011815.1",0.1
"MOCOS",0.1
"MIR924HG",0
"AC120049.1",0.2
"SLC14A2",0.3
"RNF165",0.1
"AC100778.3",0.1
"LINC02837",0
"RAB27B",0.2
"CCDC68",0.1
"TCF4-AS2",0.8
"AC104971.3",0.1
"CDH20",0.1
"AC064801.1",0.2
"SERPINB2",0
"AC090125.2",0.1
"AC027575.2",0.1
"AC018529.2",0.3
"AC124254.2",0.1
"AC125437.3",0.2
"AC021594.2",0.1
"PARD6G-AS1",0.1
"PARD6G",0.1
"AC010641.2",0
"GZMM",0.1
"AC009005.1",0.1
"HCN2",0.2
"FSTL3",0.1
"PRSS57",0
"AC006273.1",0
"ELANE",0
"CFD",0.2
"KISS1R",0
"AC004528.1",0.1
"CBARP",0
"CIRBP-AS1",0.1
"AC005329.1",0
"GAMT",0.2
"AC012615.4",0.1
"ZNF57",0.2
"GNA15",0.1
"SMIM24",0.2
"MATK",0
"AC007292.1",0
"PLIN4",0.1
"AC005523.1",0
"FUT6",0.1
"FUT5",0.1
"AC011444.1",0
"ADGRE1",0.1
"AC010336.1",0.1
"AC010336.4",0
"CTXN1",0.2
"AC010336.5",0
"AC008946.1",0.1
"ICAM4",0.1
"CNN1",0
"KLF1",0
"SYCE2",0.1
"AC011446.2",0.2
"NANOS3",0.1
"C19orf57",0
"MISP3",0
"AC022098.3",0
"OR7C1",0.1
"AC003956.1",0
"UCA1",0
"AC024075.3",0.1
"CPAMD8",0.1
"OCEL1",0.7
"RAB3A",0.1
"AC123912.4",0
"AC123912.2",0
"AC011503.2",0
"AC005580.1",1.2
"AC005616.1",0
"PLEKHF1",0.5
"CEBPA",0.4
"AC008555.4",0.6
"LGI4",0
"FXYD1",0.1
"FAM187B",0
"FFAR3",0
"GPR42",0
"DMKN",0.3
"ETV2",0.1
"AD000671.3",0
"SDHAF1",0.8
"AC002116.2",0
"CLIP3",0.1
"THAP8",0.1
"ZNF793-AS1",0.1
"ZNF571-AS1",0.6
"ZNF781",0.1
"ZNF607",0.1
"AC011479.4",0.1
"C19orf33",0.2
"LRFN1",0.1
"AC011445.2",0.1
"DLL3",0.1
"ATP1A3",0.3
"AC010247.2",0.2
"ZNF575",0.2
"PINLYP",0.1
"PLAUR",0.1
"AC006213.1",0
"ZNF223",0.2
"ZNF225",0.2
"AC011481.2",0.2
"APOC1",0.1
"GIPR",0.1
"SIX5",0.1
"MYPOP",0.3
"AC007785.3",0.1
"PNMA8A",0.1
"AC073548.2",0.1
"NAPA-AS1",0.2
"NTN5",0.1
"HSD17B14",0.1
"CCDC155",0
"RRAS",0.1
"MYH14",0
"CLEC11A",0.1
"AC010325.1",0.3
"CLDND2",0.1
"NKG7",0
"SIGLEC5",0.1
"AC018755.4",0.3
"FPR1",0
"ZNF350-AS1",0.6
"ZNF578",0.2
"AC022150.2",0.1
"ZNF677",0.4
"LILRB3",0.3
"LILRA5",0
"EDDM13",0.1
"AC005498.3",0.1
"AURKC",0.1
"ZNF460-AS1",0.3
"ZNF547",0.1
"VN1R1",0.1
"AC012313.2",0
"AC012313.6",0
"ZNF837",0.1
"AC012313.8",0.1
"AC012313.7",0.1
"NRSN2",0.1
"SRXN1",0.1
"AL109809.5",0
"LAMP5",0.2
"ANKEF1",0.1
"MKKS",0.4
"CST7",0.1
"AL390198.1",0.1
"LINC01733",0
"LINC01597",0.7
"AL117381.1",0
"DNMT3B",0.1
"AL031668.2",0.1
"ASIP",0.1
"ITCH-AS1",0.1
"AL109923.1",0.1
"AL035420.3",0.1
"SLA2",0.1
"TGM2",0
"ADA",0.2
"UBE2C",0.1
"TNNC2",0.2
"ZSWIM3",0
"PLTP",0.1
"SLC12A5",0
"AL133227.1",0.1
"AL031666.1",0.1
"AL133342.1",0.7
"TRERNA1",0
"LINC01275",0.1
"FAM210B",0.5
"AURKA",0
"LINC01711",0
"SYCP2",0.4
"LAMA5-AS1",0
"AL357033.1",0.3
"AL357033.3",0.1
"HAR1B",0.1
"EEF1A2",0.1
"AL118506.1",0.3
"NPBWR2",0
"LINC00266-1",0.2
"FP565260.6",0.5
"CU638689.5",0
"SMIM11B",0.1
"FP671120.6",0.1
"FP236383.3",0.1
"CHODL",0.1
"AF129075.1",0.1
"BACH1-AS1",0.1
"BACH1-IT2",0.3
"AP000253.1",0
"EVA1C",0.1
"RCAN1",0.1
"AF015262.1",0
"AP001437.2",0
"LINC00114",0
"BRWD1-IT1",0.1
"FAM3B",0
"ZNF295-AS1",0.1
"TFF3",0.2
"AP001628.2",0.1
"AP001046.1",0.1
"AP001056.1",0.1
"AP001057.1",0.1
"AP001059.1",0.2
"AP001062.3",0
"AP001062.2",0
"ITGB2-AS1",0.2
"AP000542.2",1.7
"AP000365.1",0
"SLC25A18",0.1
"FAM230J",0.1
"AC000068.1",0.1
"AC006547.3",0.2
"AC002470.1",0.1
"AP000550.1",0
"IGLV6-57",0.1
"VPREB1",0.6
"IGLV7-46",0.3
"IGLV7-43",0
"ZNF280B",0.3
"IGLV3-21",0.1
"IGLC4",0.1
"AP000345.2",0.1
"RGL4",0.1
"MIF-AS1",0.1
"AC253536.6",0.1
"LRRC75B",0.1
"GGT1.1",0.1
"AL022323.3",0.2
"AL022329.2",0.1
"Z95115.1",0.2
"GAS2L1",0.1
"CABP7",0
"OSM",0.2
"CASTOR1",0.1
"SEC14L4",0
"AL008635.1",0.2
"RBFOX2",0.9
"Z95114.2",0.1
"FO393418.1",0
"TST",0.1
"AL022314.1",0
"IL2RB",0
"SSTR3",0.1
"LGALS2",0
"Z83844.2",0.1
"Z97056.2",0
"AL021707.8",0.1
"DNAL4",0.3
"APOBEC3A",0.1
"DNAJB7",0.2
"TEF",0.1
"Z99716.2",0
"PHETA2",0.1
"CYP2D6",0.1
"LINC01315",0
"NFAM1",0.1
"BIK",2.2
"SCUBE1",0
"PNPLA5",0
"AL008718.3",0
"WNT7B",0.1
"BX537318.1",0.1
"AL121672.3",0
"AL121672.1",0.3
"AL121672.2",0.1
"CDPF1",0.2
"TTC38",0.1
"AL021392.1",0.1
"AL078622.1",0.1
"MLC1",0
"PANX2",0
"MAPK11",0.1
"SHANK3",0
"AC004554.2",0
"PIR",0
"SCML1",0.4
"PPEF1",0
"EIF1AX-AS1",0.1
"AC131011.1",0.1
"CXorf58",0
"AC112496.1",0
"AC092198.1",0
"AC234772.2",0.2
"TIMP1",0.6
"UXT-AS1",0.2
"AC244636.3",0
"AC115618.1",0.1
"GATA1",0
"AC232271.2",0.1
"GAGE12F",0
"ALAS2",0
"NLRP2B",0
"AL034397.3",0.1
"KIF4A",0.1
"AL590764.1",0.4
"LINC00891",0.2
"NHSL2",0.2
"CITED1",0
"ITM2A",0.6
"TSPAN6",0.1
"XKRX",0.1
"TMSB15A",0
"AL035427.2",0.1
"TCEAL9",0.5
"ZCCHC18",0.3
"ALG13-AS1",0.1
"KLHL13",0.1
"SOWAHD",0.2
"LINC01402",0.1
"TMEM255A",0.3
"GLUD2",0
"XPNPEP2",0
"AL023653.1",0.1
"AL034405.1",0.1
"RTL8C",0.9
"RTL8A",0.5
"ZNF449",0.1
"MAMLD1",0.3
"ZNF185",0.2
"PNMA6A",0.1
"SLC6A8",0.2
"L1CAM",0.1
"U52112.1",0
"TMEM187",0.1
"TEX28",0
"AC244090.1",0.5
"UBL4A",1.1
"RAB39B",0.8
"CLIC2",0.1
"F8A3",0.1
"LINC00266-4P",0.1
"AC004556.3",1.3
"MMEL1",0.1
"Z98886.1",0
"AL139424.2",0
"MASP2",0
"LINC01783",0
"PLA2G2F",0
"Z98257.1",0.1
"AL662907.3",0.1
"GJA9",0.1
"ZYG11A",0
"AC118469.2",0.1
"PPIAL4G",0
"NUP210L",0.2
"LINC01675",0
"TNNI1",0
"PRELP",0
"AL592146.2",0
"SOX13",0.1
"MFSD4A",0.1
"ACTA1",0
"AL359921.1",0.1
"AL359764.1",0
"AC144450.1",0
"COLEC11",0.3
"AC007240.3",0
"AC106875.1",0
"SDC1",0
"CCDC85A",0.1
"ACTG2",0.1
"GPAT2",0
"CNNM3-DT",0
"IL1R2",0.2
"AC018730.1",0.1
"AC016745.2",0.1
"GPR17",0
"AC012306.3",0
"LYPD6B",0.1
"KCNJ3",0.1
"DLX2",0.1
"SATB2",0.2
"SATB2-AS1",0
"LINC01792",0
"TMEM169",0.1
"AC073052.2",0.1
"NYAP2",0.1
"LINC01907",0
"AC022007.1",0.1
"HRH1",0
"AC034198.2",0.1
"ACVR2B-AS1",0
"ZNF502",0.4
"ZNF501",0.1
"CCR2",0
"COL7A1",0.1
"SEMA3F",0
"TNNC1",0.1
"AC012467.2",0.1
"AC098479.1",0
"FAM107A",0
"BOC",0
"AC073352.1",0
"ILDR1",0
"AC112484.3",0
"AC092969.1",0
"AC121333.1",0
"AC090425.3",0
"EEF1AKMT4",0
"EPHB3",0.1
"RTP1",0
"LINC01972",0.1
"AC107464.1",0.1
"AC104066.3",0
"SLC10A6",0
"RRH",0.1
"MTRNR2L13",0
"QRFPR",0.1
"FSTL5",0.2
"AC068989.1",0.1
"TERT",0.2
"AC012640.1",0
"ZNF366",0
"FOXD1",0.2
"AC099522.2",0.1
"ACOT12",0
"AC008629.1",0
"IL13",0
"FSTL4",0
"AC026691.1",0.1
"CXCL14",0.1
"PCDHB14",0.1
"PCDHGA3",0
"AC131025.1",0
"AC106801.1",0
"LINC01202",0
"AC113414.1",0
"FGFR4",0.1
"AC106795.5",0
"AL022097.1",0
"TFAP2A",0
"TFAP2A-AS2",0
"TFAP2A-AS1",0
"ELOVL2",0
"AL645937.4",0.1
"HCG22",0
"PSORS1C3",0
"HSPA1L",0.1
"SMIM40",0
"TEAD3",0.1
"ARMC12",0
"AL021368.3",0
"FO393414.3",0.1
"AL590009.1",0
"AL365259.1",0
"ALDH8A1",0.1
"AL078602.1",0.1
"KIF25-AS1",0
"KIF25",0
"AL354892.1",0
"MICALL2",0
"AC092171.3",0.1
"AC004948.1",0
"STEAP1B",0.1
"AC073072.1",0
"AC003093.1",0.1
"AC007285.1",0.1
"INHBA",0
"PGAM2",0
"AC017116.1",0
"AC073115.1",0.2
"AC087175.1",0.1
"AC006333.1",0
"FLNC",0
"AC007938.3",0.1
"AC073140.2",0.1
"AC021097.2",0.1
"AC034111.1",0.1
"LINC01605",0.1
"AC124067.2",0
"PXDNL",0.1
"AC100814.1",0
"TRIM55",0
"VXN",0
"MCMDC2",0
"XKR9",0.1
"STAU2-AS1",0.1
"HEY1",0.1
"LINC01030",0
"MIR3150BHG",0
"AC068189.1",0
"SDC2",0
"AP003472.2",0
"LINC01151",0
"AC100858.3",0
"CCDC26",0.1
"AL161725.1",0.1
"AL354694.1",0
"IFT74-AS1",0
"CNTNAP3B",0
"CNTNAP3C",0.1
"LERFS",0.1
"AL139041.1",0
"GSN-AS1",0
"AL359632.1",0.1
"CEL",0
"AL359878.2",0
"LINC02645",0.1
"PITRM1-AS1",0.1
"AL158168.1",0
"GPR158",0
"AC068898.1",0
"ZNF365",0.1
"AC091769.2",0.1
"AC073389.3",0
"CALHM1",0
"AL158835.1",0
"PKP3",0
"OR56B1",0.1
"LDHC",0.1
"CSTF3-DT",0.1
"OR4D9",0.1
"AP000640.1",0
"MS4A2",0
"MS4A14",0.1
"PPP1R32",0.1
"C11orf72",0.1
"AP002812.2",0
"AP002802.1",0
"LINC02732",0.2
"DIXDC1",0.1
"AP001267.4",0
"CRTAM",0
"GLB1L2",0
"AC005840.4",0
"AC006517.2",0
"AC010168.1",0.1
"SOX5",0.1
"AC068774.1",0.2
"AC087588.3",0
"AC140847.2",0
"NELL2",0.1
"AC074029.3",0
"FAM186B",0.1
"GPD1",0
"SCN8A",0.1
"SMIM41",0
"CYP27B1",0.1
"AC025165.5",0
"AC025165.4",0
"LINC02384",0
"LINC00943",0.1
"AC025160.1",0
"RIMBP2",0.2
"AC063926.1",0
"TEX26-AS1",0
"AL442067.2",0.1
"AL136961.1",0
"GAS6",0
"MYH7",0
"AL135878.1",0
"AL356756.1",0.2
"LRFN5",0.1
"NID2",0
"AL356804.1",0
"AC005520.5",0.1
"VASH1-AS1",0.2
"AL121839.2",0
"EML1",0.1
"LINC00637",0
"IGHEP1",0
"IGHV1-18",0
"IGHV3-74",0.1
"ACTC1",0
"MEIS2",0.1
"DLL4",0
"DUOX2",0.1
"PRTG",0.1
"AC011939.3",0
"AC027237.2",0
"AC023034.1",0
"AC104041.1",0.2
"ADAMTSL3",0
"TTLL13P",0
"AC068831.1",0
"LINC01579",0
"AC084855.2",0.1
"AC015712.2",0.1
"WASIR2",0.1
"Z92544.2",0.2
"AL031709.1",0
"DNASE1L2",0
"AC023830.2",0
"AC130650.2",0.2
"PLA2G10",0
"SCNN1B",0
"LINC02137",0
"AC012325.1",0.1
"CDH3",0.1
"CLEC18A",0.1
"ADAD2",0
"AC141424.1",0
"AC015853.2",0
"SLC13A5",0
"CCDC42",0.1
"MYH8",0
"MYH4",0
"MYH1",0
"AC015726.1",0.1
"CCDC144NL",0.1
"CORO6",0
"AC116407.1",0
"AC005899.6",0.1
"AC005899.5",0.1
"AC022916.1",0
"RDM1",0.1
"KRT15",0.1
"AC099811.1",0.1
"AC138150.2",0
"SP2-AS1",0.1
"AC027601.4",0.1
"AC016866.1",0
"MIR122HG",0
"AC090377.1",0
"AC040896.1",0
"KCNG2",0
"AC005306.1",0.1
"AC006538.4",0
"AC006538.1",0
"AC005954.2",0.1
"ANKRD24",0
"AC007292.2",0
"CATSPERD",0
"SLC25A41",0
"PRAM1",0.1
"CYP4F3",0
"OR10H1",0.1
"PLVAP",0
"ZNF792",0.1
"AC011479.2",0.2
"RYR1",0
"ZNF404",0.1
"ZNF229",0
"KCNA7",0.1
"KLK4",1.3
"ZNF534",0.1
"NLRP2",0.3
"AC006116.11",0
"ZNF132",0.1
"SIGLEC1",0
"CHGB",0.1
"AL031673.1",0.1
"ITCH-IT1",0.1
"LPIN3",0
"NEURL2",0.1
"AL031666.2",0
"AL139351.2",0.3
"LINC01273",0
"BCAS1",0.1
"AL160412.1",0
"NKAIN4",0
"CU633906.5",0
"AP000696.2",0
"DSCR9",0
"FTCD",0
"PRAME",0.6
"IGLV4-3",0
"RAB36",0.1
"DRICH1",0.1
"AL022322.1",0.1
"BX324167.1",0
"XG",0.5
"NLGN4X",0.1
"RGN",0.2
"SHROOM4",0.1
"NEXMIF",1.2
"HDX",1.5
"AL136169.1",0.1
"RPS4Y1",8.6
"ZFY",3
"LINC00278",0.4
"PRKY",1.2
"USP9Y",6.6
"AC244213.1",0.6
"DDX3Y",16.3
"UTY",6.4
"TTTY14",0.5
"AC010889.1",0.1
"KDM5D",2
"AC010889.2",0
"EIF1AY",2.1
"AL645608.1",0
"AL390719.3",0
"FNDC10",0
"MMP23B",0.1
"PRKCZ-AS1",0.1
"LINC01672",0
"AL357140.2",0
"AL354956.1",0
"PLA2G5",0
"EPHB2",0.1
"LINC01355",0.1
"AL109936.6",0
"MYOM3",0
"AL031432.5",0
"AUNIP",0
"CD164L2",0
"AL020997.3",0
"AL353622.2",0
"AL009181.1",0.1
"FABP3",0
"AL136115.1",0.1
"TSSK3",0.1
"TMEM54",0
"AL031602.2",0
"ZSCAN20",0.1
"ZMYM4-AS1",0
"AL139286.2",0
"AL929472.2",0
"PABPC4-AS1",0
"EDN2",0
"RIMKLA",0
"AL512353.1",0
"CFAP57",0
"TMEM125",0
"HYI-AS1",0
"AL604028.1",0
"TTC39A",0
"AL591167.1",0
"AL606760.2",0
"SSBP3-AS1",0.1
"AC119674.1",0.1
"DAB1",0
"AL136985.3",0.1
"CYP2J2",0.1
"KANK4",0
"AC119800.1",0
"GNG12-AS1",0
"ZRANB2-AS1",0.1
"MSH4",0
"NEXN-AS1",0
"LINC02792",0
"AL360219.1",0
"CCN1",0
"CLCA4-AS1",0.1
"AL121989.1",0.1
"PKN2-AS1",0
"AC104459.1",0
"AL596214.1",0.1
"AC093423.2",0
"LINC01763",0
"HFM1",0.1
"VCAM1",0
"LINC02785",0
"AMIGO1",0
"AL450468.2",0
"TMIGD3",0
"AL390242.1",0
"LRIG2-DT",0.1
"LINC01765",0
"WARS2-IT1",0
"AL359915.1",0
"SRGAP2-AS1",0
"LINC02798",0
"LINC01691",0
"AC245014.1",0
"CD160",0.1
"ANKRD34A",0
"AC239803.1",0
"NOTCH2NLB",0
"AC242988.1",0.1
"AL590133.2",0
"AL592424.1",0
"LYSMD1",0
"AL391069.1",0
"AL450992.2",0
"HRNR",0
"FLG2",0
"DCST1",0
"AC234582.2",0
"ASH1L-IT1",0
"AL590666.5",0
"AL356276.1",0.1
"CD1A",0
"OR10K1",0
"CFAP126",0
"FAM78B",0
"AL023755.1",0
"FMO3",0
"FMO1",0
"DNM3OS",0
"GAS5-AS1",0.1
"AL355482.1",0.1
"LAMC2",0
"C1orf21",0
"AL133383.1",0
"HMCN1",0
"RGS18",0
"INAVA",0.1
"GPR37L1",0
"AC104463.2",0
"LRRN2",0.1
"IL20",0
"SPATA45",0
"AL606537.1",0
"TGFB2-AS1",0
"AC096642.1",0.1
"MARC2",0
"LINC01705",0
"AL353593.3",0.1
"AL136988.2",0
"AL158214.2",0
"CAPN9",0.1
"AL160408.1",0
"LINC01348",0
"GNG4",0
"AL606534.1",0
"AL606534.2",0
"LINC02774",0
"TRAPPC12-AS1",0
"LINC00487",0
"LINC00299",0
"ID2-AS1",0
"AC082651.3",0
"MYCNOS",0
"KCNS3",0
"MFSD2B",0.1
"FKBP1B",0.1
"AC012073.1",0
"EFR3B",0
"AC104699.1",0.2
"AC010896.1",0.1
"TCF23",0.1
"LINC01936",0
"NLRC4",0
"LINC01318",0
"AC008170.1",0.2
"AC007378.1",0
"CYP1B1-AS1",0
"ABCG8",0.1
"AC107081.4",0.1
"AC018462.1",0
"LINC01829",0
"AC015969.1",0
"LINC01890",0
"AC005234.2",0
"LINC01291",0
"AC007681.1",0.1
"EVA1A",0
"AC005034.5",0
"IGKV1-5",0
"IGKV1-39",0.1
"ZNF2",0.1
"PROM2",0
"AC009237.14",0
"ANKRD23",0.1
"IGKV1OR2-6",0
"AC092683.2",0.1
"VWA3B",0
"RFX8",0.1
"PANTR1",1.1
"LINC01159",0
"SH3RF3",0
"SEPTIN10",0
"AC016683.1",0
"PAX8",0.1
"AC104653.2",0
"CYP27C1",0.1
"PROC",0.1
"LYPD1",0.1
"MAP3K19",0
